,Unnamed: 0,Company,CPU Detail,CPU Manufacturer,CPU Generation,CPU Arc,Core,Cache,RAM,HDD,SSD,Graphic-creator,Graphic RAM,Blore screen,Keyboard light,Battery houre,Battery Cells,Battery Capacity,Size per Inch/,Touch screen,amount
760,809,,Core i5,,11.0,x86,6.0,12.0,16.0,,512.0,NVIDIA,4.0,1.0,,2.0,3.0,48.0,15.6,,36.49
761,810,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,16.0,1000.0,256.0,,4.0,,,,,45.0,15.6,,36.0
762,811,,Core i9,Intel,13.0,x86,,24.0,32.0,1000.0,,Nvidia,8.0,,1.0,10.0,,,,,118.15
763,812,,Core i5,Intel,10.0,x86,4.0,6.0,8.0,256.0,,,,,,11.5,,45.8,15.0,,41.5
764,816,,Core i7,Intel,,x86,14.0,24.0,32.0,,1000.0,NVIDIA,,,,3.0,4.0,80.0,,,83.0
765,817,,Core i9,Intel,13.0,x86,,36.0,16.0,,1000.0,,8.0,,1.0,,6.0,80.0,15.6,,104.2
766,818,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,512.0,NVIDIA,4.0,,1.0,,4.0,76.0,,,50.981
767,819,,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,32.0,,2000.0,NVIDIA,6.0,,1.0,,4.0,90.0,,,68.97
768,820,lenovo,Ryzen 5,AMD,5.0,x86,6.0,16.0,32.0,,2000.0,,,1.0,1.0,2.0,,,15.6,,46.681
769,821,,Core i9-Raptor Lake,Intel,13.0,x86,24.0,36.0,32.0,,1000.0,NVIDIA,16.0,,1.0,,4.0,90.0,,,205.5
770,822,,Ryzen 5-Zen 2,AMD,5.0,x86,6.0,8.0,12.0,1000.0,256.0,AMD,2.0,,,,2.0,38.0,,,21.579
771,823,,Core i7,Intel,11.0,x86,,,8.0,,512.0,,,,,,,,14.0,,35.0
772,824,,Core i7,Intel,11.0,x86,4.0,12.0,8.0,1000.0,256.0,NVIDIA,2.0,1.0,,2.0,2.0,38.0,15.6,,28.499
773,825,ASUS,Ryzen 5,AMD,5.0,x86,6.0,19.0,8.0,,1000.0,AMD,,,1.0,5.0,,70.0,14.0,,27.999
774,826,,Ryzen 7,AMD,,x86,6.0,16.0,32.0,,1000.0,NVIDIA,,,,3.0,4.0,80.0,,,59.636
