,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
487,  ,          ,Core i7       ,     ,             , , 8665u    , 4عدد                    ,             8MB            ,                           16GB 64GB            ,              ,512GB M.2 SSD 512GB M.2 SSD               ,                               , AMD                  ,  Radeon WX3200   ,                          4 گیگابایت         ,دارد ,     ,         , ,           56Wh     , 15.6 اینچ          ,  ,  ,   ,            ,   ,24.400.000
488,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,4.900.000
489,  ,          ,Core i7       ,     ,             , , i7-11800H    ,                     ,   24 مگابایت                      ,16 گیگابایت                                        ,              ,1 ترابایت SSD                ,                               ,   Nvidia                ,    GeForce RTX 3060 GDDR6 ,                  6 گیگابایت                 ,✔ , ✔    ,         , , باتری لیتیوم-یون با ظرفیت 70 وات‌ ساعت               , 16 اینچ          ,  ,  ,   ,            ,   ,66.900.000
490,  ,ایسر(acer)          ,12700H Alder Lake-P      ,     ,             ,نسل 12 , Core i7    ,14 هسته حقیقی + 20 رشته مجازی                     ,24 MB                         ,    16GB   8GB                                 ,              ,                 ,     512GB                          ,                   ,GeForce  Geforce RTX3070 8GB GDDR6   ,                                   ,بله ,RGB backlit دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,68.500.000
491, 12700H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 32GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,4Zone RGB     ,         , ,3Cell 57.5WHr                ,           ,  ,  ,   ,            ,   ,46.490.000
492,  ,          ,       ,     ,           Intel  , ,     ,              Core i7       ,"              L3 – 8 MB, ,, 8 مگابايت           ","             DDR4                قابلیت ارتقاء تا 64 گیگابایت, ,, 16 گيگابايت           ",              ,                 ,               512 گیگابایت حافظه SSD                ,                   ,     ,"                           Shared GPU memory up To 4GB, ,, 4GB        ", ,     ,         , ,                ,           ,  , yes ,   ,"         برخی مدل ها فاقد نور پس زمینه, ,, yes   ",   ,22.800.000
493,  ,          ,Ryzen 5       ,     ,             , , R5-4680U    ,                     ,                         ,     8 گیگابایت                                   ,              ,128 گیگابایت SSD                ,                               ,                   ,  AMD Radeon Graphics   ,                                   , ,     ,         , ,       شارژدهی تا 19 ساعت         , 13.5 اینچ          ,  ,  ,   ,            ,   ,37.000.000
494,  ,          ,Corei5       ,     ,             , , 1135G7    ,4                     ,  8MB                       ,   16GB                                     ,              ,1TB HDD                ,                               , NVIDIA                  ,  Geforce MX330   ,            2GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     2Cell 37WHr           ," 15.6""          ",  ,  ,   ,            ,   ,30.149.000
495,راگ استریکس - ROG Strix  ,  ایسوس - ASUS        ,Ryzen 9       ,     ,             , , 6900HS    ,   8 هسته                  ,     20 مگابایت                    ,   16 گیگابایت                                     ,              ,    ندارد             ,   1 ترابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     RGB,         , ,  با ظرفیت 90 وات ساعت              , 16 اینچ          ,  ,  ,   ,            ,   ,93.699.000
496,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,25.500.000
