,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
290,  ,          ,Corei7       ,     ,             , , 11800H    ,8                     ,  24MB                       ,   16GB                                     ,              ,512GB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce RTX 3050 TI   ,            4GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     4Cell 70WHr           ," 16.1""          ",  ,  ,   ,            ,   ,54.299.000
291,  ,          ,Corei5       ,     ,             , , 1135G7    ,                     ,  8MB                       ,   8GB                                     ,              ,256GB SSD                ,      PCIe NVMe                         , INTEL                  ,  lris Xe Graphics   ,            Up to 4GB                       ,ندارد ,     ,    5 تا 7 ساعت     , ,     45WHr           ," ""13.5          ",  ,  ,   ,            ,   ,49.788.000
292,  ,          ,i7       ,     ,             ,نسل دهم-ICE LAKE , 10750H  intel  ,                     ,   12 مگابایت                      ,8 گیگابایت                                        ,              ,512GB+1TBHDD SSD                ,                               , NVIDIA                  ,     , NVIDIA RTX2060 6GB                      6 گیگابایت            , , دارد    ,         , ,                , 15اینچ          ,  ,  ,   ,            ,   ,46.990.000
293, 1265U ,          ,Core i7       ,     ,INTEL             , ,     ,10                     ,          12MB               ,      UP TO 8GB                                  ,              ,           16GB      ,    256GB                           ,                   ,     ,                                   , ,     ,UP to 15 Hours         , ,45.8WHr                ,           ,  ,  ,   ,            ,   ,89.000.000
294, 12900H ,          ,Core i9 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 32GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3070 Ti    ,              8GB                     , ,Backlit Chiclet Keyboard Per-Key RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,118.499.000
295, RTX 3050 ,          ,Core i5       ,     ,NVIDIA             , ,     ,8                     ,12MB                         ,16GB      4GB                                  , ندارد             ,                 ,    1TB                           ,                   ,GEFORCE     ,                                   ,دارد ,     ,1 الی 3 ساعت         , ,3Cell 45WHr                ,           ,  ,  ,   ,            ,   ,39.000.000
296,  ,          ,Corei7       ,     ,             , , 1065G7    ,                     ,  8MB                       ,   32GB                                     ,              ,1TB SSD                ,      PCIe                         , NVIDIA                  ,  GeForce GTX ۱۶۵۰ Max-Q DDR۵   ,                                   ,ندارد ,     ,         , ,     57WHr + 17WHr           ," ""13.5          ",  ,  ,   ,            ,   ,91.000.000
297,  ,لنوو(lenovo)          ,10750H       ,     ,             ,نسل 10 ,x86 Core i7    ,6 هسته حقیقی + 12 هسته مجازی                     ,12 مگابایت                         ,    32GB   6GB                                 ,     ندارد         ,                 ,     2TB                          ,                   ,GeForce  Geforce RTX2060 6GB GDDR6   ,                                   ,بله ,White Backlit دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,57.790.000
298,  ,          ,Apple M1       ,     ,             , , M1    ,   8 هسته                  ,     12 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   512 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 58 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,69.000.000
299,  ,          ,Ryzen 7       ,     ,  AMD           , , Ryzen 7-5800H    8 هسته,                     , 4MB L2/16MB L3                        ,  16GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce RTX 3060    ,6GB                                   , ,     ,         , , 60WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,43.000.000
300,  ,          ,Core i7       ,     ,             , , 12650H    ,    10.0 3.0                ,  24 مگابایت                       ,   16 گیگابایت                                     ,              ,        512 گیگابایت         ,                               , Nvidia                  ,  GeForce RTX 3050Ti   , 4GB GDDR6                                  , , دارد    ,         , , 52.5Whr               , 15.6 اینچ          ,  ,  ,   ,            ,   ,49.700.000
301,  ,MSI          ,12450H       ,     ,             ,نسل 12 ,x86 Core i5    ,8 هسته حقیقی + 12 هسته مجازی                     ,12 مگابایت                         ,    8GB   4GB                                 ,              ,                 ,     512GB                          ,                   ,GeForce  Geforce RTX2050 4GB GDDR6   ,                                   ,بله , دارد    ,  1 الی 3 ساعت       , ,                , 17.3 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,45.949.000
302, 5800H ,          ,Ryzen 7 Cezanne H (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,8                     ,16MB                         , 16GB                                       ,              ,                 , 1TB                              ,AMD                   ,Radeon RX 6600M    ,              8GB                     , ,4Zone RGB     ,         , ,4Cell 70WHr                ,           ,  ,  ,   ,            ,   ,57.000.000
303,  ,          ,       ,     ,             , ,     ,                     ,                         ,         4 گیگابایت                               ,              ,                 , 256 گیگابایت                              ,          AMD Radeon         , AMD Radeon HD 7500M    ,                    512MB               ,بله ,     ,         , ,                ,     13.3 اینچ      ,  ,  ,   ,            ,   ,9.800.000
304,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,880
305,  ,          ,core 8       ,     ,             , , M1 Pro    ,                     ,                         ,     16 گیگابایت                                   ,              ,512 گیگابایت SSD                ,                               , Apple                  ,  GPU 14-Core   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,ندارد ,     ,         , ,  باتری با ظرفیت 70 وات ساعت              , 14.2 اینچ          ,  ,  ,   ,   دارد         ,   ,97.500.000
306,  ,          ,Corei3       ,     ,             , , 10110U    ,2                     ,  4MB                       ,   8GB                                     ,              ,1TB HDD+128GB SSD Hybrid                ,      PCIe NVMe M.2                         , NVIDIA                  ,  Geforce MX130   ,            2GB                       ,دارد ,     ,    2 تا 4 ساعت     , ,     2Cell 35WHr           ," 15.6""          ",  ,  ,   ,            ,   ,16.700.000
307, P1000 ,          ,Xeon       ,     ,NVIDIA             , ,     ,6                     ,          12MB               ,      4GB                                  ,              ,           16GB      ,    512GB                           ,                   ,     ,                                   , ,     ,Up to 8 Hours         , ,6Cell 90.5WHr                ,           ,  ,  ,   ,            ,   ,32.700.000
308,  ,          ,       ,     ,             , , Ryzen 3    ,                     ,                         ,16GB                                        ,              ,       512GB SSD          ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,Radeon  ,  ,   ,            ,   ,20.200.000
309,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i5-1135G7    4 هسته,                     , 8MB Intel Smart Cache                        ,  8GB                                      ,✔️   1TB           ,                 , 128GB ✔️                             ,                   , NVIDIA GeForce MX450    ,2GB                                   , ,     ,         , , 57WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,29.500.000
310,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,35.444.000
311,  ,ایسوس(Asus)          ,12500H Alder Lake      ,     ,             ,نسل 12 , Core i5    ,12هسته حقیقی + 16هسته مجازی                     ,18مگابایت                         ,    8GB   بدون حافظه‌ی گرافیکی مجزا                                 ,     ندارد         ,                 ,     1TB                          ,                   ,  Intel Iris Graphics   ,                                   ,خیر ,Backlit با نور سفید رنگ دارد    ,  2 الی 4 ساعت       , ,                , 15.6 اینچ          , ندارد 1 عدد,  ,   ,            ,   ,32.999.000
312, 1115G4 ,          ,Core i3       ,     ,INTEL             , ,     ,2                     ,6MB                         ,8GB                                        , ندارد             ,                 ,512GB                               ,                   ,UHD     ,              UP TO 4GB                     ,دارد ,     ,2 الی 4 ساعت         , ,2Cell 37WHr                ,           ,  ,  ,   ,            ,   ,18.949.000
313, 1165G7 ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,12MB                         , 12GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce MX330    ,              2GB                     , ,     ,         , ,2Cell 37WHrs                ,           ,  ,  ,   ,            ,   ,31.000.000
314,  ,          ,Core i3       ,     ,             , , 1115G4    ,   2 هسته                  ,     6 مگابایت                    ,   4 گیگابایت                                     ,  1 ترابایت            ,                 ,        ندارد                       ,    Nvidia GeForce               ,     ,                                   , ,     ندارد,         , ,  با ظرفیت 36 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,15.000.000
315,  ,          ,Corei3       ,     ,             , , 1115G4    ,2                     ,  6MB                       ,   12GB                                     ,              ,512GB SSD                ,      PCIe NVMe                         , NVIDIA                  ,  Geforce MX350   ,            2GB                       ,دارد ,     ,    1 الی 3 ساعت     , ,     2Cell 38WHr           ," 15.6""          ",  ,  ,   ,            ,   ,19.160.000
316, 12700H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,4Zone RGB     ,         , ,3Cell 57.5WHr                ,           ,  ,  ,   ,            ,   ,53.681.000
317,  ,          ,Ryzen 5       ,     ,             ,سری 5000 AMD , 5500U    ,   6 هسته                  ,     11 مگابایت                    ,   8 گیگابایت                                     ,  1 ترابایت            ,                 ,   256 گیگابایت                            ,    AMD Radeon               ,     ,                                   , ,     ندارد,         , ,  با ظرفیت 38 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,20.900.000
318, 6800H ,          ,Ryzen 7 AMD Rembrandt (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,16MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,RGB backlit     ,         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,48.379.000
319,  ,          ,Ryzen 5       ,     ,             , , 5600H    ,                     ,                         ,   16 گیگابایت                                     ,              ,512 گیگابایت SSD NVMe M.2               ,                               , Nvidia                  ,  RTX 3050TI   , 4 گیگابایت                                  , ,     ,         , ,                , 16.1 inch          ,  ,  ,   ,            ,   ,32.700.000
320, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 256GB                              ,Intel                   ,Iris Xe     ,              Up to 4GB share                     , ,White Backlit     ,         , ,3Cell 52.5WHr                ,           ,  ,  ,   ,            ,   ,36.999.000
321, 6800H ,          ,Ryzen 7 AMD Rembrandt (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,16MB                         , 32GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3060    ,              6GB                     , ,4Zone RGB     ,         , ,4Cell 80WHr                ,           ,  ,  ,   ,            ,   ,71.990.000
322,  ,          ,Ryzen 5       ,     ,             , , 5500U    ,                     ,8 مگابایت                         ,     8 گیگابایت                                   ,              ,512 گیگابایت SSD حافظه SSD‌ از نوع M.2               ,                               , AMD                  ,  AMD Radeon™ Graphics   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,ندارد ,     ,         , ,  باتری لیتیوم یون با ظرفیت 42 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   دارد         ,   ,22.599.000
323,Macbook air m2  ,          ,Apple M2       ,     ,   اپل          , ,  M۲   ,۸ هسته (۴ هسته‌ی Performance و ۴ هسته‌ی Efficiency)                     ,   ۲۰ مگابایت / ۱۶ مگابایت کش L۲ و ۴ مگابایت کش L۳                      ,   ۸ گیگابایت                                     ,              ,   SSD              ,   ۲۵۶ گیگابایت                            , Apple                  ,  M۲ ۱۰‑core پردازنده گرافیکی مجزا  ,                                   , ,  دارد   ,         , , ۵۲.۶ وات‌ساعت               ,  ۱۳.۶ اینچ         ,  ,  ,   ,            ,   ,64.000.000
324, 1115G4 ,          ,Core i3 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,2                     ,6MB                         , 4GB                                       ,              ,                 , 128GB                              ,Intel                   ,UHD     ,              Up to 2GB share                     , ,White Backlit     ,         , ,2Cell 37WHrs                ,           ,  ,  ,   ,            ,   ,18.199.000
325, 1215U ,          ,Core i3       ,     ,INTEL             , ,     ,6                     ,          10MB               ,      UP TO 6GB                                  ,              ,           8GB      ,    256GB                           ,                   ,     ,                                   ,دارد ,     ,1 الی 3 ساعت         , ,3Cell 41WHr                ,           ,  ,  ,   ,            ,   ,17.300.000
326,  ,          ,Ryzen 5       ,     ,             , , 5500U    ,                     ,8 مگابایت                         ,     8 گیگابایت                                   ,              ,256 گیگابایت SSD حافظه SSD‌ از نوع M.2               ,                               , AMD                  ,  AMD Radeon™ Graphics   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,دارد ,     ,         , ,  باتری لیتیوم یون با ظرفیت 41 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   ندارد         ,   ,23.440.000
327, 12900H ,          ,Core i9 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,14                     ,24MB                         , 32GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3080 Ti    ,              16GB                     , ,Backlit Chiclet Keyboard Per-Key RGB     ,         , ,4Cell 90WHr                ,           ,  ,  ,   ,            ,   ,136.398.000
328,  ,          ,Corei5       ,     ,             , , 1135G7    ,4                     ,  8MB                       ,   8GB                                     ,              ,1TB HDD+256GB SSD Hybrid                ,      PCIe NVMe M.2                         , NVIDIA                  ,  Geforce MX350   ,            2GB                       ,دارد ,     ,    1 تا 3 ساعت     , ,     3Cell 38WHr           ," 15.6""          ",  ,  ,   ,            ,   ,24.100.000
329,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Core i3-1115G4    2 هسته,                     , 6MB Cache                        ,  4GB                                      ,❌              ,                 , 256GB ✔️                             ,                   , NVIDIA GeForce MX450    ,2GB                                   , ,     ,         , , 70Wh               ,15.6 اینچ           ,  ,  ,   ,            ,   ,18.760.000
330, 11800H ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,8                     ,24MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3060    ,              6GB                     , ,4Zone RGB     ,         , ,4Cell 70WHr                ,           ,  ,  ,   ,            ,   ,64.150.000
331,  ,          ,       , Intel Core i7-4600U up to3.30GHz/Dual-Core - 4MB Cache    ,             , ,     ,                     ,                         ,                     4GB DDR3                   ,              ,       128GB SSD          ,                               ,           Intel HD Graphics 300        ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,10.700.000
332,  ,          ,12th Gen\Alder Lake       ,     ,  Intel           , , Core i7-12700H    14 هسته (6 هسته پُرمصرف + 8 هسته کم مصرف),                     , 24MB Smart Cache                        ,  16GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce RTX 3070    ,8GB                                   , ,     ,         , , 90WHrs               ,15.6 اینچ           ,  ,  ,   ,            ,   ,84.299.000
333,  ,          ,       ,     ,        Intel     , , Core i9 13900HX    ,                     ,            L3 cache 36MB             ,     16                                   ,         1 ترا     ,                 ,                               , Nvidia                  ,  RTX4060   , 8G GDDR6                                  , ,     ,         , دارای دو ورودی برق یکی آداپتور اصلی 300 واتی و دیگری تایپ سی با قابلیت 140W شارژ سریع,         300 وات       ,           ,  ,  ,   ,     تک نور با سه سطح نور       ,خیر   ,89.730.000
334,  ,          ,Core i7       ,     ,             ,نسل 10 اینتل , 1065G7    ,   4 هسته                  ,     8 مگابایت                    ,   16 گیگابایت                                     ,              ,                 ,   256 گیگابایت                            ,    Nvidia GeForce               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 51.5 وات ساعت              , 13.5 اینچ          ,  ,  ,   ,            ,   ,68.100.000
335, 10300H ,          ,Core i5 Comet Lake      ,     , Intel            ,نسل 10 ,x86     ,4                     ,8MB                         , 16GB                                       ,   1TB           ,                 , 512GB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,3Cell 48WHrs                ,           ,  ,  ,   ,            ,   ,nmwjwd
336, 5600H ,          ,Ryzen 5 AMD Cezanne (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,6                     ,16MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,White Backlit     ,         , ,4Cell 60WHr                ,           ,  ,  ,   ,            ,   ,41.295.000
337,  ,          ,Corei5       ,     ,             , , 10300H    ,4                     ,  8MB                       ,   16GB                                     ,              ,1TB HDD+512GB SSD Hybrid                ,      PCIe NVMe                         , NVIDIA                  ,  GeForce GTX 1650   ,            4GB                       ,دارد ,     ,    1 الی 3 ساعت     , ,     3Cell 48WHr           ," 15.6""          ",  ,  ,   ,            ,   ,35.900.000
338,  ,          ,   Core i7    ,     ,     Intel NVIDIA       , ,     ,                     ,        ۲۴ مگابایت                 ,            16 گیگابایت DDR4                           ,              ,         512 گیگابایت        ,                               ,                   ,     ,               4 گیگابایت                    , ,     ,         , ,                ,    15.6 اینچ       ,  ,  ,   ,  دارد          ,   ,53.890.000
339,  ,          ,Core i7       ,     ,             , , 10510U    ,                     ,8 مگابایت                         ,     16 گیگابایت                                   ,              ,1 ترابایت SSD                ,                               , Nvidia                  ,  GeForce® MX250   ,  2 گیگابایت       2 گیگابایت                          ,ندارد ,     ,         , ,  باتری با ظرفیت 56 وات ساعت              , 13.9 اینچ          ,  ,  ,   ,   دارد         ,   ,50.000.000
340,  ,          ,Core i7       ,     ,             ,نسل 12 , 12700H    ,14 هسته‌ای                     ,      24 مگابایت                   ,     16 گیگابایت                                   ,              ,512 گیگابایت SSD                ,                               , NVIDIA                  ,  GeForce RTX 3050   ,  4 گیگابایت       4 گیگابایت                          ,ندارد ,     ,2 الی 4 ساعت         , ,        3Cell 70WHr        , 15.6 اینچ          ,  ,  ,   ,            ,   ,57.500.000
341,  ,          ,       ,     ,             , , Intel® Core™ i9-13980HX    ,                     ,  36 MB Intel® Smart Cache                       ,   32 گیگابایت DDR5 4800MHz                                     ,              ,2TB حافظه از نوع SSD NVMe                 ,                               ,                   ,  RTX™ 4090 175W   , 16GB DDR6                                  , ,     ,         , , 90wh        330 W power adapter       , 18اینچ          ,  ,  ,   ,     RGB       ,   ,172.650.000
342,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,8.500.000
343, 5800HS ,          ,Ryzen 7 AMD Cezanne (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,8                     ,16MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,Single Light     ,         , ,4Cell 76WHr                ,           ,  ,  ,   ,            ,   ,59.100.000
344,  ,          ,Core i7       ,     ,             , , 10510U    ,                     ,8 مگابایت                         ,     16 گیگابایت                                   ,              ,512 گیگابایت SSD                ,                               , Nvidia                  ,  GeForce® MX250   ,  2 گیگابایت       2 گیگابایت                          ,ندارد ,     ,         , ,  باتری با ظرفیت 41.7 وات ساعت              , 13.0 اینچ          ,  ,  ,   ,   ندارد         ,   ,35.000.000
345,  ,ام اس آی          ,1335U Raptor Lake      ,     ,             ,نسل 13 ,x86 Core i5    ,10 هسته حقیقی+ 12 هسته مجازی                     ,12 مگابایت                         ,    16GB   بدون حافظه‌ی گرافیکی مجزا                                 ,     ندارد         ,                 ,     512GB                          ,                   ,  Iris Xe   ,                                   , , دارد    ,  1 الی 3 ساعت       , ,                , 14 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,36.300.000
346,  ,          ,       ,     ,             , ,     ,         Core i7-1260P            ,                         ,                       16GB RAM DDR5                 ,          1 TB    ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,132.000.000
347,  ,          ,Lake Refresh       ,     ,  Intel           , , Celeron N4020    2 هسته,                     , 4MB                        ,  4GB                                      ,❌              ,                 , 256GB ✔️                             ,                   ,     ,❌                                   , ,     ,         , , 35WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,8.790.000
348,  ,          ,Core i7       ,     ,             , , 1255U    ,                     ,12 مگابایت                         ,     8 گیگابایت                                   ,              ,512 گیگابایت SSD                ,                               , Nvidia                  ,  GeForce MX550   ,  2 گیگابایت       2 گیگابایت                          ,دارد ,     ,         , ,  باتری لیتیوم یون با ظرفیت 50 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   دارد         ,   ,32.600.000
349, 11400H ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,6                     ,12MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,3Cell 48WHrs                ,           ,  ,  ,   ,            ,   ,45.798.000
350,  ,          ,       ,     ,             , , 1165G7- i7    ,4 هسته ای                     ,  12 مگابایت                       ,     16 گیگابایت                                   ,              ,512 گیگابابت SSD                ,                               ,     IRIS XE              ,     ,                 UP TO 8GB                  ,✔️ , ✔️    ,         , ,       4 سلولی 54 وات ساعت         ,     13.3 اینچ      ,  ,  ,   ,            ,   ,47.500.000
351,  ,          ,  Intel Core i5     ,     ,             , , 6300U    ,                     ,                         ,          8 گيگابايت                              ,              ,                 ,        256G                       , Intel                  ,     , 4G                                  ,بله ,     ,         , ,                , 12.5اینچ          ,  ,  ,   ,            ,   ,10.400.000
352,  ,          ,Core i7       ,     ,             , , 8650U    ,                     ,8 مگابایت                         ,     16 گیگابایت                                   ,              ,1 ترابایت SSD                ,                               , Nvidia                  ,  GeForce® GTX1060   ,  6 گیگابایت       6 گیگابایت                          ,ندارد ,     ,         , ,  تا 17:00 ساعت              , 15.0 اینچ          ,  ,  ,   ,   دارد         ,   ,43.800.000
353,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,255.500.000
354,  ,          ,Core i9       ,     ,             ,نسل 12 , 12900H    ,14 هسته‌ای                     ,      24 مگابایت                   ,     16 گیگابایت                                   ,              ,1 ترابایت SSD                ,                               , NVIDIA                  ,  Geforce RTX 3050 Ti   ,  4 گیگابایت       4 گیگابایت                          ,ندارد ,     ,1 الی 3 ساعت         , ,        4Cell 56WHr        , 13.4 اینچ          ,  ,  ,   ,            ,   ,92.279.000
355,  ,          ,11th Gen\Tiger Lake       ,     ,  Intel           , , Intel Core i7-11370H    4 هسته,                     , 12MB Smart Cache                        ,  16GB                                      ,❌              ,                 , 1TB ✔️                             ,                   , NVIDIA GeForce RTX 3050    ,4GB                                   , ,     ,         , , 63WHrs               ,15.6 اینچ           ,  ,  ,   ,            ,   ,46.890.000
356, 5600H ,          ,Ryzen 5 AMD Cezanne (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,6                     ,16MB                         , 16GB                                       ,   1TB           ,                 , 256GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,4Zone RGB     ,         , ,3Cell 45WHr                ,           ,  ,  ,   ,            ,   ,39.600.000
357,  ,          ,Core i7       ,     ,             , , 12700H    ,  14.0                   ,24 مگابایت                         ,     16 گیگابایت  8 گیگابایت                                 ,              , SSD 1 ترابایت حافظه داخلی از نوع PCIe NVMe M.2 SSD               ,   1 ترابایت                            , NVIDIA                  ,     ,                                   , ,     بله,         , ,                , 17 اینچ          ,  ,  ,   ,            ,   ,81.000.000
358,  ,          ,10th Gen\Ice Lake       ,     ,  Intel           , , Core i5-1035G1    4 هسته,                     , 6MB Smart Cache                        ,  8GB                                      ,✔️   1TB           ,                 , 256GB ✔️                             ,                   , NVIDIA GeForce MX330    ,2GB                                   , ,     ,         , , 36WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,26.550.000
359,  ,          ,  Core i5     ,     ,             , , 6300U    ,                     ,  3 مگابایت                       ,   4 گیگ                                     ,              ,128 گیگ SSD M.2               ,                               , intel                  ,     , بدون حافظه‌ی گرافیکی مجزا                                  ,خیر , دارد    ,  3 تا 6 ساعت       , ,  باتری غیر قابل تعویض لیتیوم یونی              , 12 اینچ          ,  ,  ,   ,            ,   ,12.000.000
360,  ,          ,Core i5       ,     ,             , , 11400H    ,                     ,  12 مگابایت                       ,   8 گیگابایت                                     ,              ,512 گیگابایت SSD M2 NVMe PCIe               ,                               , NVIDIA                  ,  GeForce® RTX 3050   , 4GB                                  ,بله , دارد    ,  تا 3:00 ساعت       , ,  باتری لیتیوم-یون با ظرفیت 51 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,            ,   ,33.800.000
361,  ,          ,Core i7       ,     ,             , , i7-8650U    ,                     ,   8 مگابایت                      ,16 گیگابایت                                        ,              ,512 گیگابایت SSD                ,                               ,   Nvidia Gforce                ,    GTX 1060 GDDR5 ,                  6 گیگابایت                 , , ✔    ,     17 ساعت    , , تا 17:00 ساعت پخش ویدیو               , 15 اینچ          ,  ,  ,   ,            ,   ,69.500.000
362,  ,ایسوس(Asus)          ,5800H AMD Cezanne (Zen 3)      ,     ,             ,نسل 5 , Ryzen 7    ,8 هسته حقیقی + 16 هسته مجازی                     ,16 مگابایت                         ,    16GB   4GB                                 ,              ,                 ,     512GB                          ,                   ,GeForce  Geforce GTX1650 4GB GDDR6   ,                                   ,خیر ,White Backlit دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,38.445.000
363, 12650H ,          ,Core i7 Alder Lake-P      ,     , Intel            ,نسل 12 ,x86     ,10                     ,24MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,RGB backlit     ,         , ,4Cell 76WHr                ,           ,  ,  ,   ,            ,   ,56.888.000
364,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,23.800.000
365,  ,          ,       ,     ,             ,نسل 3 ,   INTEL  ,          Core i7           ,                         ,         12 گیگابایت                               ,       1 ترابایت       ,                 ,                               ,          Nvidia Geforce         , Nvidia Geforce GTX660    ,                    2G               ,بله ,     ,         , ,                ,     15.6 اینچ      ,  ,  ,   ,       دارد     ,   ,15.000.000
366, 5600H ,          ,Ryzen 5 AMD Cezanne (Zen 3)      ,     , AMD            ,نسل 5 ,x86     ,6                     ,16MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,White Backlit     ,         , ,6Cell 96WHr                ,           ,  ,  ,   ,            ,   ,47.688.000
367,  ,          ,Ryzen 7       ,     ,             , , 5700U    ,                     ,8 مگابایت                         ,     16 گیگابایت                                   ,              ,512 گیگابایت SSD                ,                               , Nvidia                  ,  GeForce® RTX 3050 Ti   ,  4 گیگابایت       4 گیگابایت                          ,دارد ,     ,         , ,  لیتیوم یون با ظرفیت 48 وات ساعت              , 15.6 اینچ          ,  ,  ,   ,   دارد         ,   ,34.400.000
